香港(测试),#genre#
武术世界高清,http://192.168.1.1:4000/udp/239.77.1.108:5146
文物宝库高清,http://192.168.1.1:4000/udp/239.77.1.120:5146
爱体育高清,http://192.168.1.1:4000/udp/239.77.0.176:5146
爱体育高清,http://192.168.1.1:4000/udp/239.77.1.116:5146
九屏同播,http://192.168.1.1:4000/udp/239.77.1.234:5146
四屏同播,http://192.168.1.1:4000/udp/239.77.1.107:5146
百事通高清,http://192.168.1.1:4000/udp/239.253.43.119:5146
百事通高清,http://192.168.1.1:4000/udp/239.253.43.118:5146
百事通高清,http://192.168.1.1:4000/udp/239.253.43.117:5146
百事通高清,http://192.168.1.1:4000/udp/239.253.43.116:5146
百事通高清,http://192.168.1.1:4000/udp/239.253.43.115:5146

广东(外网),#genre#
广东珠江,http://www.tyio.cc:8188/rtp/239.77.0.114:5146
广东新闻,http://www.tyio.cc:8188/rtp/239.77.0.173:5146
广东民生,http://www.tyio.cc:8188/rtp/239.77.0.225:5146
广东体育,http://www.tyio.cc:8188/rtp/239.77.0.168:5146
经济科教,http://www.tyio.cc:8188/rtp/239.77.0.167:5146
大湾区卫视,http://www.tyio.cc:8188/rtp/239.77.0.215:5146
广东影视,http://www.tyio.cc:8188/rtp/239.77.0.217:5146
广东少儿,http://www.tyio.cc:8188/rtp/239.77.0.250:5146
嘉佳卡通,http://www.tyio.cc:8188/rtp/239.77.0.179:5146
岭南戏曲,http://www.tyio.cc:8188/rtp/239.77.0.122:5146
广州综合,http://www.tyio.cc:8188/rtp/239.253.43.71:5146
广州新闻,http://www.tyio.cc:8188/rtp/239.253.43.72:5146
深圳都市,http://www.tyio.cc:8188/rtp/239.77.1.176:5146
深圳电视剧,http://www.tyio.cc:8188/rtp/239.77.1.177:5146
深圳财经生活,#http://www.tyio.cc:8188/rtp/239.77.1.242:5146
深圳娱乐,#http://www.tyio.cc:8188/rtp/239.77.1.243:5146
深圳体育健康,#http://www.tyio.cc:8188/rtp/239.77.1.128:5146
深圳少儿,http://www.tyio.cc:8188/rtp/239.77.1.244:5146
深圳公共,#http://www.tyio.cc:8188/rtp/239.77.1.178:5146
深圳宝安,http://www.tyio.cc:8188/rtp/239.77.1.67:5146
深圳龙岗,http://www.tyio.cc:8188/rtp/239.77.1.223:5146
东莞新闻,http://yanshifen.top:8889/rtp/239.253.43.104:5146
东莞生活,http://www.kem.ink:8188/rtp/239.253.43.105:5146
韶关新闻,http://www.kem.ink:8188/rtp/239.77.0.117:5146
珠海-1,http://www.kem.ink:8188/rtp/239.77.0.155:5146
惠州综合,http://www.kem.ink:8188/rtp/239.77.1.232:5146
惠州公共,http://www.kem.ink:8188/rtp/239.77.1.233:5146
揭阳综合,http://www.kem.ink:8188/rtp/239.77.0.229:5146
云浮综合,http://www.kem.ink:8188/rtp/239.77.0.253:5146
云浮文旅,http://www.kem.ink:8188/rtp/239.77.0.254:5146
肇庆综合,http://www.kem.ink:8188/rtp/239.253.43.1:5146
肇庆生活,http://www.kem.ink:8188/rtp/239.253.43.2:5146
清远新闻,http://www.kem.ink:8188/rtp/239.253.43.33:5146
汕头综合,http://www.kem.ink:8188/rtp/239.253.43.45:5146
汕头经济,http://www.kem.ink:8188/rtp/239.253.43.46:5146
汕尾综合,http://www.kem.ink:8188/rtp/239.77.0.25:5146
佛山公共,http://www.kem.ink:8188/rtp/239.253.43.53:5146
佛山南海,http://www.kem.ink:8188/rtp/239.253.43.54:5146
佛山顺德,http://www.kem.ink:8188/rtp/239.253.43.55:5146
佛山综合,http://www.kem.ink:8188/rtp/239.253.43.57:5146
中山综合,http://yanshifen.top:8889/rtp/239.253.43.62:5146
潮州综合,http://www.kem.ink:8188/rtp/239.253.43.70:5146
潮州民生,http://www.kem.ink:8188/rtp/239.253.43.75:5146
河源综合,http://www.kem.ink:8188/rtp/239.253.43.213:5146
河源公共,http://www.kem.ink:8188/rtp/239.253.43.214:5146
梅州-1,http://www.kem.ink:8188/rtp/239.253.43.123:5146
梅州客家,http://www.kem.ink:8188/rtp/239.253.43.124:5146
岭南戏曲,http://www.kem.ink:8188/rtp/239.77.0.122:5146
江门综合,http://www.kem.ink:8188/rtp/239.77.0.201:5146
